batch_id,timing,did_terr_incl,did_terr_excl
303,regular,16.182787388050528,18.092669172932325
306,strategic,-15.726736154211238,-15.451311892740456
308,strategic,-12.758908375488993,-10.815598669623057
309,regular,10.176037735849057,11.892307692307696
310,regular,-2.671011396011373,3.6006552706552952
311,late,5.765250071405994,8.044073600817775
312,strategic,-25.300870196659666,-27.29110973915727
313,strategic,-7.605974395448079,-5.3076675069031936
314,regular,26.240441558441546,32.38993375046006
316,regular,-11.160061239573437,-12.43156843156843
319,strategic,15.411048076923073,7.401073717948719
325,strategic,-11.19599918599917,-12.145126846860336
328,strategic,-12.228440756351723,-17.85286961696479
331,regular,13.592177501870779,15.563844168537436
332,late,9.78282531194295,9.356603712191955
336,strategic,-3.7342604664638444,-5.1966655038083545
337,strategic,-11.636360901862332,-7.956876361655787
342,strategic,-5.843658008658004,-9.645468805704098
343,regular,-28.748291323843098,-26.178205853757625
346,regular,5.306759961357244,6.2982891372193635
347,late,-3.1235951599672163,-12.849184782608695
349,regular,21.926753246753243,19.49539442039442
350,regular,5.275576090576102,3.5223511705685695
354,regular,-14.236261777438244,-11.092530508706972
357,regular,-17.598233239839416,-20.40700536245363
358,regular,0.8907700354835555,-3.5428137651821956
361,strategic,-23.056950980169297,-10.567312661498718
366,strategic,1.4350384615384684,2.4511731385883806
367,regular,-0.7866839122936611,-5.352171717171721
369,regular,-3.826207157801072,8.988602150537638
371,strategic,18.94368116681548,15.237600459242245
374,regular,30.370156884459213,18.320077519379836
376,strategic,20.269292202419123,17.0617956725701
379,strategic,-8.18072274468824,-2.5729797979797766
382,strategic,10.93944730813287,19.500748895434448
383,strategic,9.996134004883999,3.3088324175824226
384,regular,6.794925014469591,9.180524984187237
385,strategic,10.446845003709413,8.087332444888673
386,strategic,-24.271147359103587,-34.3206656958602
387,strategic,2.5305362699535436,1.5665031091012054
388,strategic,14.305192392746562,13.910090090090101
390,strategic,9.904107142857114,10.320865384615374
392,regular,14.160721997300953,12.601941955953706
393,regular,12.680991687156066,20.469216282775612
395,strategic,-23.468399386005416,-29.436336705860896
396,regular,-6.937614165890025,-12.078823529411764
398,strategic,-16.82084165834165,-11.755981518481526
399,regular,13.944750000000006,13.449012820512841
402,strategic,-4.879601042533984,-3.226197292934579
403,strategic,28.516055439969556,24.445265754232246
411,strategic,14.42937169312168,11.407407407407405
413,strategic,15.164247192618532,4.505584415584394
416,strategic,-1.94115050988119,-6.049181442912101
418,late,-7.017880752606139,-11.189861173059768
419,regular,-6.375039313187969,1.9829495495235179
421,regular,36.72297586131669,35.40485500700878
422,late,-5.604432999432966,-8.688394038394001
425,strategic,28.051395808741248,27.931860706860704
427,strategic,9.920221524507248,15.663237797851387
428,regular,1.0934364960376755,1.5827504105090355
431,strategic,-6.608350965804384,4.65363574917145
433,regular,-8.410595238095254,-8.146666666666661
434,regular,10.415611390611389,8.766508573825654
435,strategic,-0.7315572608521421,0.32440090762552387
436,strategic,-8.948506585952707,-10.873810953752141
437,late,-6.601238133944918,-10.501934803671261
439,regular,-0.4179738562091515,0.14300878972277786
