batch_id,match_id,naive,lpo,perturber_share,volume,timing
319,3894585,0.3623776347681157,0.023395413544786536,0.140625,25,strategic
320,3894585,-0.019236019029690563,-0.45980086057738745,0.12121212121212122,31,regular
322,3894585,0.4701071332348624,0.17710190248935684,0.09154929577464789,32,regular
323,3894585,0.20202589040810381,-0.09856647234579043,0.12121212121212122,19,regular
325,3894586,0.4068120340298032,0.0740772422152799,0.07608695652173914,60,strategic
326,3894586,-0.025232269207651644,-0.20085170699269747,0.11176470588235295,27,regular
328,3894586,0.32781874453008164,0.22552148733792096,0.11,24,strategic
329,3894586,0.7178854425083149,0.42553142819809997,0.31690140845070425,15,regular
332,3894587,0.21267768012824015,0.14375631755511534,0.09411764705882353,34,late
334,3894587,0.8033454743702558,0.607319963940869,0.31746031746031744,27,regular
336,3894588,0.061231487955943784,-0.2411722886320265,0.0635593220338983,59,strategic
337,3894588,0.6085652341782936,0.4996795548406204,0.33214285714285713,59,strategic
339,3894588,0.5563914352026953,0.5224692027045131,0.1792452830188679,22,regular
340,3894588,-0.4613112474873312,-0.6517636680283284,0.08771929824561403,25,regular
342,3894589,-0.23100882962579455,-0.3508962882793221,0.09574468085106383,28,strategic
343,3894589,0.0410564712480901,0.05115670277155614,0.11607142857142858,26,regular
344,3894589,0.2706072863901023,0.0595843591724218,0.0875,14,late
346,3894589,0.14501399491470773,-0.0373731000138499,0.11711711711711711,53,regular
347,3894589,0.6213279893729666,0.3737709155872009,0.27358490566037735,53,late
349,3894590,0.6828836081235794,0.5674696331519103,0.03608247422680412,42,regular
350,3894590,0.3547099444515679,0.12065538313430159,0.2441860465116279,42,regular
352,3894590,0.2641127611827663,0.031318683861580446,0.12337662337662338,25,regular
353,3894590,0.7017677900244083,0.5729796248956098,0.06547619047619048,30,regular
354,3894591,0.5571783548109462,0.27446901639255145,0.27,22,regular
355,3894591,0.13268315596545946,0.049669465981498184,0.0423728813559322,21,regular
357,3894591,0.2743444479342226,0.09092130212036591,0.11061946902654868,56,regular
358,3894591,0.3478871055993358,0.054598112336208884,0.13709677419354838,51,regular
359,3894591,0.00958301313222017,-0.14048718711296881,0.07009345794392523,40,regular
361,3894592,0.44384893810500015,-0.2486960497612758,0.1875,31,strategic
362,3894592,-0.634591353208512,-0.6461217520261183,0.14285714285714285,16,regular
363,3894592,0.5354692079713577,0.1439973657521148,0.24315068493150685,69,regular
364,3894592,-0.029045937336171047,-0.08837379483570662,0.12931034482758622,51,late
366,3894593,-0.021682640611014277,-0.1270423894140207,0.007407407407407408,60,strategic
367,3894593,0.5328146670996453,0.04988083417659272,0.1590909090909091,72,regular
368,3894593,0.2326949966994998,0.0975126573742786,0.1576923076923077,55,late
369,3894593,0.29198870128685955,-0.13725310546899505,0.23170731707317074,13,regular
371,3894594,0.07923313021426141,-0.4360963668414145,0.09917355371900827,54,strategic
372,3894594,0.42091676798420624,0.13270728761079803,0.20202020202020202,45,regular
373,3894594,0.3085289154453037,-0.040256719771422846,0.1875,59,late
374,3894594,0.6013848710849562,0.4707245160631658,0.2457627118644068,14,regular
375,3894594,0.45325993307192936,0.24933865381623305,0.25,30,regular
376,3894595,0.6641112674441128,0.4309392131533599,0.08,37,strategic
377,3894595,0.18107388213647668,0.14521446528560047,0.03488372093023256,40,regular
379,3894595,0.30148958587212793,-0.16100599207972313,0.22123893805309736,55,strategic
380,3894595,0.5981304981370361,0.2952916454327715,0.14682539682539683,58,late
384,3894596,0.3734272382858935,0.013429581408788898,0.09482758620689655,21,regular
385,3894596,0.46004737525996414,-0.26056351699125957,0.2932098765432099,44,strategic
386,3894596,0.18667878906264068,-0.04871727172268991,0.2515151515151515,47,strategic
387,3894597,0.5953410151843752,0.38848678012318794,0.2135678391959799,98,strategic
388,3894597,0.07063684763151516,-0.23386755819199556,0.07568807339449542,85,strategic
389,3894597,0.34312954778707466,0.10411825600541678,0.2857142857142857,113,late
390,3894597,0.5499361287671556,0.11687522755062922,0.17333333333333334,70,strategic
391,3894597,0.3614081282417572,0.008670533386360996,0.21893491124260356,80,regular
392,3894598,0.4704872669387152,0.29458989390379575,0.1702127659574468,65,regular
393,3894598,0.3247721384817875,0.12904726950979406,0.12992125984251968,54,regular
395,3894598,-0.049841624312916104,-0.2932129553913031,0.05555555555555555,21,strategic
396,3894598,0.2907128438834986,0.03489825651341031,0.21212121212121213,29,regular
398,3894599,0.48213452144483554,0.14869219733292535,0.12844036697247707,44,strategic
399,3894599,0.4472901785376408,-0.14780538792073358,0.12890625,48,regular
400,3894599,0.48583491928402295,0.44009182010575254,0.054945054945054944,39,late
402,3894599,0.5637317904485755,0.13883218797250713,0.12053571428571429,46,strategic
403,3894599,0.2364439784891788,-0.11010443552788361,0.14885496183206107,58,strategic
404,3894599,0.49979580907635013,0.3157828801705356,0.1623931623931624,36,regular
406,3894600,-0.19153285189210462,-0.02508186301016036,0.09090909090909091,15,regular
407,3894600,0.2726523747899134,0.10430194536711103,0.12698412698412698,29,regular
409,3894600,0.01167233885616521,-0.07383856830089947,0.07065217391304347,37,regular
411,3894601,0.27425218012595953,0.01976978675477772,0.11538461538461539,16,strategic
412,3894601,0.252981447942524,0.021104731775258425,0.045454545454545456,20,late
413,3894601,0.6129360681085132,-0.2258159511213789,0.3958333333333333,31,strategic
414,3894601,0.007720068152296846,-0.12348208957179581,0.04807692307692308,26,regular
416,3894602,-0.13362806204600397,-0.6334733782446634,0.2857142857142857,52,strategic
417,3894602,0.27969292404866886,-0.22361438366924202,0.08984375,63,regular
418,3894602,0.15269873724643657,-0.3211116279526768,0.09,69,late
419,3894602,0.14049080198255795,-0.12466915823093425,0.2028985507246377,23,regular
421,3894603,0.13316771247215037,-0.0005890060837115854,0.18902439024390244,55,regular
422,3894603,0.30312545463310486,0.2233354644116435,0.17287234042553193,88,late
423,3894603,0.2556315262642349,0.20434617814482517,0.1590909090909091,13,regular
425,3894604,0.1918594189900215,-0.01762317504236181,0.17857142857142858,41,strategic
427,3894604,0.47514884258756296,0.27385465585001445,0.0514018691588785,42,strategic
428,3894604,0.19809696822264414,0.06181708342521822,0.07211538461538461,35,regular
429,3894604,0.07748178441559814,-0.22377259187430537,0.24096385542168675,37,regular
430,3894604,0.429955839604482,0.11862067750066112,0.12650602409638553,33,regular
431,3894605,0.6044278416937858,0.1467136445955262,0.3620689655172414,41,strategic
432,3894605,0.2643562415616472,0.054656027098433875,0.27702702702702703,37,late
433,3894605,0.2341826398290119,-0.09122573774887072,0.16071428571428573,24,regular
434,3894605,0.4317346463499677,0.2899275028247549,0.056338028169014086,27,regular
435,3894606,-0.11476011041569818,-0.4687089257108277,0.05319148936170213,50,strategic
436,3894606,0.5319520839390359,0.10688678646607648,0.10273972602739725,45,strategic
437,3894606,0.3567101112718681,-0.3595514560724976,0.11585365853658537,66,late
439,3894606,0.4057075902237588,0.13331268956185643,0.07211538461538461,36,regular
440,3894606,0.34868434417394467,0.05242676433290723,0.15517241379310345,35,regular
442,3894607,0.33552683068584493,0.0662783567766797,0.17123287671232876,58,strategic
444,3894607,0.47677907712793555,0.14419686940632273,0.20833333333333334,33,strategic
445,3894607,0.5051933357769182,0.4162927824814543,0.07291666666666667,10,strategic
447,3894608,0.5743777987746977,-0.044123557062169666,0.2591623036649215,90,strategic
448,3894608,-0.23292690947625092,-0.45732005029953315,0.1724137931034483,29,strategic
