section,item,metric,value,note
D_selection,pre_betweenness_P_t15,mean_dropped,0.08621827682558567,
D_selection,pre_betweenness_P_t15,smd_ret_minus_drop,0.2872797099201103,
D_selection,pre_lambda2_P_t15,n_retained,1285,
D_selection,pre_lambda2_P_t15,n_dropped,789,
D_selection,pre_lambda2_P_t15,mean_retained,0.9482849194262367,
D_selection,pre_lambda2_P_t15,mean_dropped,0.8742779883420834,
D_selection,pre_lambda2_P_t15,smd_ret_minus_drop,0.10790802448357073,
D_selection,pre_efficiency_P_t15,n_retained,1285,
D_selection,pre_efficiency_P_t15,n_dropped,789,
D_selection,pre_efficiency_P_t15,mean_retained,0.7732127563338606,
D_selection,pre_efficiency_P_t15,mean_dropped,0.7109011384402223,
D_selection,pre_efficiency_P_t15,smd_ret_minus_drop,0.1816572483433114,
D_selection,pre_density_Z_t15,n_retained,1285,
D_selection,pre_density_Z_t15,n_dropped,789,
D_selection,pre_density_Z_t15,mean_retained,0.00453138216883776,
D_selection,pre_density_Z_t15,mean_dropped,0.004393135075892556,
D_selection,pre_density_Z_t15,smd_ret_minus_drop,0.060091833356303,
D_selection,pre_clustering_Z_t15,n_retained,1285,
D_selection,pre_clustering_Z_t15,n_dropped,789,
D_selection,pre_clustering_Z_t15,mean_retained,0.0438059304079464,
D_selection,pre_clustering_Z_t15,mean_dropped,0.042381724370486096,
D_selection,pre_clustering_Z_t15,smd_ret_minus_drop,0.04646763756427015,
D_selection,pre_betweenness_Z_t15,n_retained,1285,
D_selection,pre_betweenness_Z_t15,n_dropped,789,
D_selection,pre_betweenness_Z_t15,mean_retained,0.027775044152402045,
D_selection,pre_betweenness_Z_t15,mean_dropped,0.028404927181584477,
D_selection,pre_betweenness_Z_t15,smd_ret_minus_drop,-0.027446482067776647,
D_selection,pre_lambda2_Z_t15,n_retained,1285,
D_selection,pre_lambda2_Z_t15,n_dropped,789,
D_selection,pre_lambda2_Z_t15,mean_retained,0.08929684183411207,
D_selection,pre_lambda2_Z_t15,mean_dropped,0.08762384179614814,
D_selection,pre_lambda2_Z_t15,smd_ret_minus_drop,0.015923784667285567,
D_selection,pre_efficiency_Z_t15,n_retained,1285,
D_selection,pre_efficiency_Z_t15,n_dropped,789,
D_selection,pre_efficiency_Z_t15,mean_retained,0.16678946567630612,
D_selection,pre_efficiency_Z_t15,mean_dropped,0.16309491275330085,
D_selection,pre_efficiency_Z_t15,smd_ret_minus_drop,0.03549912589113683,
D_selection,pre_vers_P_w10_Z_t15,n_retained,1285,
D_selection,pre_vers_P_w10_Z_t15,n_dropped,789,
D_selection,pre_vers_P_w10_Z_t15,mean_retained,0.04466837473926285,
D_selection,pre_vers_P_w10_Z_t15,mean_dropped,0.044299899824642254,
D_selection,pre_vers_P_w10_Z_t15,smd_ret_minus_drop,0.06336459827797704,
D_selection,pre_vers_Z_w10_Z_t15,n_retained,1285,
D_selection,pre_vers_Z_w10_Z_t15,n_dropped,789,
D_selection,pre_vers_Z_w10_Z_t15,mean_retained,0.021405468218410193,
D_selection,pre_vers_Z_w10_Z_t15,mean_dropped,0.021432759285560033,
D_selection,pre_vers_Z_w10_Z_t15,smd_ret_minus_drop,-0.04976910423337046,
D_selection,minute_first,n_retained,1285,supplementary (not one of the 12 covariates)
D_selection,minute_first,n_dropped,790,
D_selection,minute_first,mean_retained,67.03035019455253,
D_selection,minute_first,mean_dropped,75.58101265822785,
D_selection,minute_first,smd_ret_minus_drop,-0.7661754727022769,
D_selection,SUMMARY,n_retained_batches,1285,
D_selection,SUMMARY,n_dropped_batches,790,
D_selection,SUMMARY,n_abs_smd_gt_0.1,4,among the 12 covariates
D_selection,SUMMARY,max_abs_smd,0.2872797099201103,pre_betweenness_P_t15
