family,k,x_expected,lo,med,hi
interaction,12,0.41170514212382237,0.2027020304168941,0.41732652339537424,0.7932764938228718
interaction,13,0.4499066147692282,0.22787232862133913,0.45410179239734516,0.8481328218968696
interaction,14,0.4887764111146695,0.251651572651824,0.49245189929330024,0.905012895199822
interaction,15,0.5283993014986544,0.2787538671666347,0.5309440242305689,0.9601853867593622
interaction,16,0.5688698840577776,0.30529233351553053,0.5701829815575219,1.01888159968289
interaction,17,0.6102946101863326,0.33327537784145117,0.609812419263065,1.0787904138868556
interaction,18,0.6527943153857513,0.36101321320471264,0.6502810278429085,1.1382269695846032
interaction,19,0.6965074215790178,0.3902194088620769,0.6927330154912438,1.2007557103227224
interaction,20,0.7415940438615162,0.42117766051036437,0.7355295317847286,1.263146982401923
interaction,21,0.7882413344974836,0.45348304407522244,0.779788500963501,1.3255443704689143
interaction,22,0.8366705492413726,0.4879600260325866,0.8257240089544389,1.3908478262641597
interaction,23,0.8871465590188761,0.5227058459726355,0.8726818530147513,1.4608885874947115
interaction,24,0.9399909121894655,0.5601111624778711,0.9225491711557403,1.5310692361611011
interaction,25,0.9956001858419566,0.5968383541584806,0.9736449329700496,1.6070270297355338
interaction,26,1.0544724517700532,0.6359880234423964,1.0286852450492212,1.6824892821363793
interaction,27,1.1172466278630777,0.6780540975558657,1.0858881413612034,1.7614930939091067
interaction,28,1.1847631375478964,0.7263085355864473,1.1487668843730103,1.8462525679622142
interaction,29,1.2581615610630963,0.7741274839520962,1.2164758742513497,1.9361472328525353
interaction,30,1.3390464383709664,0.8284639449151363,1.2903960514940676,2.0333236898965183
interaction,31,1.4297883359455212,0.8892321345134453,1.3730559798513355,2.140579485102879
interaction,32,1.5341205443525463,0.9564240478805959,1.4671648869611207,2.2642927106660338
interaction,33,1.658472061035627,1.034556116723025,1.5770118056646503,2.4098066650946093
interaction,34,1.8155173349526696,1.1282479595366632,1.7147048684773876,2.606062407431594
interaction,35,2.03683413170139,1.2471049923451902,1.8980631918276318,2.8950621677892503
interaction,36,2.460124337560004,1.4255793439642483,2.1921978974494905,3.3172516732721093
