block,timing,lam,snr,snr_sd,n_seeds,N_boot,value,lo95,hi95,note
curve_multiseed,regular,0.205,2.4527,0.3507,24.0,251.0,,,,
curve_multiseed,regular,0.21,2.5166,0.3797,24.0,251.0,,,,
curve_multiseed,regular,0.215,2.534,0.3852,24.0,251.0,,,,
curve_multiseed,regular,0.22,2.5585,0.3834,24.0,251.0,,,,
curve_multiseed,regular,0.225,2.6075,0.4401,24.0,251.0,,,,
curve_multiseed,regular,0.23,2.6616,0.4226,24.0,251.0,,,,
curve_multiseed,regular,0.235,2.6868,0.4459,24.0,251.0,,,,
curve_multiseed,regular,0.24,2.7576,0.4516,24.0,251.0,,,,
curve_multiseed,regular,0.245,2.83,0.4423,24.0,251.0,,,,
curve_multiseed,regular,0.25,2.8259,0.4422,24.0,251.0,,,,
curve_multiseed,regular,0.255,2.9198,0.4941,24.0,251.0,,,,
curve_multiseed,regular,0.26,2.9615,0.4581,24.0,251.0,,,,
curve_multiseed,regular,0.265,2.9929,0.4386,24.0,251.0,,,,
curve_multiseed,regular,0.27,3.0691,0.4865,24.0,251.0,,,,
curve_multiseed,regular,0.275,3.0921,0.4775,24.0,251.0,,,,
curve_multiseed,regular,0.28,3.1257,0.5213,24.0,251.0,,,,
curve_multiseed,regular,0.285,3.1525,0.5535,24.0,251.0,,,,
curve_multiseed,regular,0.29,3.2116,0.5126,24.0,251.0,,,,
curve_multiseed,regular,0.295,3.2672,0.5008,24.0,251.0,,,,
curve_multiseed,regular,0.3,3.3114,0.5467,24.0,251.0,,,,
curve_multiseed,late,0.0,1.009,0.0714,24.0,251.0,,,,
curve_multiseed,late,0.005,0.9978,0.0748,24.0,251.0,,,,
curve_multiseed,late,0.01,1.0174,0.0783,24.0,251.0,,,,
curve_multiseed,late,0.015,0.9823,0.0739,24.0,251.0,,,,
curve_multiseed,late,0.02,1.0104,0.0855,24.0,251.0,,,,
curve_multiseed,late,0.025,1.0446,0.0715,24.0,251.0,,,,
curve_multiseed,late,0.03,1.0462,0.0896,24.0,251.0,,,,
curve_multiseed,late,0.035,1.0369,0.1053,24.0,251.0,,,,
curve_multiseed,late,0.04,1.0833,0.1158,24.0,251.0,,,,
curve_multiseed,late,0.045,1.0656,0.0868,24.0,251.0,,,,
curve_multiseed,late,0.05,1.085,0.0947,24.0,251.0,,,,
curve_multiseed,late,0.055,1.1182,0.0915,24.0,251.0,,,,
curve_multiseed,late,0.06,1.1454,0.0979,24.0,251.0,,,,
curve_multiseed,late,0.065,1.1507,0.1469,24.0,251.0,,,,
curve_multiseed,late,0.07,1.2021,0.1279,24.0,251.0,,,,
curve_multiseed,late,0.075,1.1876,0.1156,24.0,251.0,,,,
curve_multiseed,late,0.08,1.2013,0.131,24.0,251.0,,,,
curve_multiseed,late,0.085,1.2347,0.1619,24.0,251.0,,,,
curve_multiseed,late,0.09,1.2641,0.1403,24.0,251.0,,,,
curve_multiseed,late,0.095,1.3335,0.1339,24.0,251.0,,,,
curve_multiseed,late,0.1,1.3167,0.1526,24.0,251.0,,,,
curve_multiseed,late,0.105,1.3479,0.1449,24.0,251.0,,,,
curve_multiseed,late,0.11,1.398,0.1556,24.0,251.0,,,,
curve_multiseed,late,0.115,1.3947,0.1739,24.0,251.0,,,,
curve_multiseed,late,0.12,1.4592,0.1861,24.0,251.0,,,,
curve_multiseed,late,0.125,1.4708,0.1865,24.0,251.0,,,,
curve_multiseed,late,0.13,1.5075,0.162,24.0,251.0,,,,
curve_multiseed,late,0.135,1.5214,0.1767,24.0,251.0,,,,
curve_multiseed,late,0.14,1.5619,0.2056,24.0,251.0,,,,
curve_multiseed,late,0.145,1.5919,0.2002,24.0,251.0,,,,
curve_multiseed,late,0.15,1.6313,0.1837,24.0,251.0,,,,
curve_multiseed,late,0.155,1.665,0.2314,24.0,251.0,,,,
curve_multiseed,late,0.16,1.7451,0.1727,24.0,251.0,,,,
curve_multiseed,late,0.165,1.7444,0.185,24.0,251.0,,,,
curve_multiseed,late,0.17,1.7828,0.3154,24.0,251.0,,,,
curve_multiseed,late,0.175,1.7601,0.3026,24.0,251.0,,,,
curve_multiseed,late,0.18,1.8664,0.2857,24.0,251.0,,,,
curve_multiseed,late,0.185,1.8965,0.2841,24.0,251.0,,,,
curve_multiseed,late,0.19,1.9006,0.2214,24.0,251.0,,,,
curve_multiseed,late,0.195,1.9398,0.3212,24.0,251.0,,,,
curve_multiseed,late,0.2,2.0307,0.3553,24.0,251.0,,,,
curve_multiseed,late,0.205,2.0079,0.36,24.0,251.0,,,,
curve_multiseed,late,0.21,2.1034,0.3391,24.0,251.0,,,,
curve_multiseed,late,0.215,2.109,0.3407,24.0,251.0,,,,
curve_multiseed,late,0.22,2.1387,0.361,24.0,251.0,,,,
curve_multiseed,late,0.225,2.1578,0.2748,24.0,251.0,,,,
curve_multiseed,late,0.23,2.2635,0.3458,24.0,251.0,,,,
curve_multiseed,late,0.235,2.2217,0.3395,24.0,251.0,,,,
curve_multiseed,late,0.24,2.274,0.3305,24.0,251.0,,,,
curve_multiseed,late,0.245,2.2944,0.2986,24.0,251.0,,,,
curve_multiseed,late,0.25,2.3613,0.3729,24.0,251.0,,,,
curve_multiseed,late,0.255,2.3868,0.342,24.0,251.0,,,,
curve_multiseed,late,0.26,2.3722,0.3182,24.0,251.0,,,,
curve_multiseed,late,0.265,2.4341,0.3373,24.0,251.0,,,,
curve_multiseed,late,0.27,2.4932,0.3711,24.0,251.0,,,,
curve_multiseed,late,0.275,2.5178,0.4117,24.0,251.0,,,,
curve_multiseed,late,0.28,2.5626,0.3902,24.0,251.0,,,,
curve_multiseed,late,0.285,2.566,0.374,24.0,251.0,,,,
curve_multiseed,late,0.29,2.6094,0.3232,24.0,251.0,,,,
curve_multiseed,late,0.295,2.6752,0.421,24.0,251.0,,,,
curve_multiseed,late,0.3,2.6518,0.449,24.0,251.0,,,,
obs_target_boot,strategic,,1.1196,0.0463,,,1.0522,1.0428,1.2135,B=200; batch-level resample; N_boot=73
obs_target_boot,regular,,1.6425,0.0968,,,1.561,1.4615,1.8276,B=200; batch-level resample; N_boot=73
obs_target_boot,late,,1.7686,0.1916,,,1.5944,1.4531,2.1917,B=200; batch-level resample; N_boot=73
inversion_new,strategic,,1.052,,,,0.0255,0.0197,0.086,MC D=4000; P(lam=0)=0.001; censored>0.30=0.000
inversion_new,regular,,1.561,,,,0.1487,0.0806,0.173,MC D=4000; P(lam=0)=0.000; censored>0.30=0.000
inversion_new,late,,1.594,,,,0.2093,0.1062,0.2599,MC D=4000; P(lam=0)=0.000; censored>0.30=0.004
ratio_late_over_early,late/strategic,,,4.089,,,8.203,1.728,9.984,median in snr_sd col; P(ratio=inf)=0.001; lower bound => 'at least 1.7x'
curve_N73_early,strategic,0.0,0.9971,0.0245,24.0,73.0,,,,
curve_N73_early,strategic,0.005,1.0013,0.0245,24.0,73.0,,,,
curve_N73_early,strategic,0.01,0.9997,0.0161,24.0,73.0,,,,
curve_N73_early,strategic,0.015,1.0145,0.0193,24.0,73.0,,,,
curve_N73_early,strategic,0.02,1.0067,0.0274,24.0,73.0,,,,
curve_N73_early,strategic,0.025,1.0112,0.0316,24.0,73.0,,,,
curve_N73_early,strategic,0.03,1.0259,0.0314,24.0,73.0,,,,
curve_N73_early,strategic,0.035,1.023,0.0354,24.0,73.0,,,,
curve_N73_early,strategic,0.04,1.0256,0.0324,24.0,73.0,,,,
curve_N73_early,strategic,0.045,1.0362,0.0415,24.0,73.0,,,,
curve_N73_early,strategic,0.05,1.0559,0.0278,24.0,73.0,,,,
curve_N73_early,strategic,0.055,1.065,0.0344,24.0,73.0,,,,
curve_N73_early,strategic,0.06,1.0553,0.0362,24.0,73.0,,,,
curve_N73_early,strategic,0.065,1.0914,0.0441,24.0,73.0,,,,
curve_N73_early,strategic,0.07,1.0839,0.0401,24.0,73.0,,,,
curve_N73_early,strategic,0.075,1.0944,0.0436,24.0,73.0,,,,
curve_N73_early,strategic,0.08,1.1167,0.0509,24.0,73.0,,,,
curve_N73_early,strategic,0.085,1.1444,0.0595,24.0,73.0,,,,
curve_N73_early,strategic,0.09,1.1526,0.0543,24.0,73.0,,,,
curve_N73_early,strategic,0.095,1.1645,0.0489,24.0,73.0,,,,
curve_N73_early,strategic,0.1,1.1975,0.0798,24.0,73.0,,,,
curve_N73_early,strategic,0.105,1.2035,0.0694,24.0,73.0,,,,
curve_N73_early,strategic,0.11,1.212,0.0673,24.0,73.0,,,,
curve_N73_early,strategic,0.115,1.2355,0.0615,24.0,73.0,,,,
curve_N73_early,strategic,0.12,1.2538,0.0877,24.0,73.0,,,,
curve_N73_early,strategic,0.125,1.2819,0.098,24.0,73.0,,,,
curve_N73_early,strategic,0.13,1.2856,0.1103,24.0,73.0,,,,
curve_N73_early,strategic,0.135,1.3156,0.0888,24.0,73.0,,,,
curve_N73_early,strategic,0.14,1.3351,0.1027,24.0,73.0,,,,
curve_N73_early,strategic,0.145,1.362,0.127,24.0,73.0,,,,
curve_N73_early,strategic,0.15,1.3629,0.1005,24.0,73.0,,,,
curve_N73_early,strategic,0.155,1.4131,0.135,24.0,73.0,,,,
curve_N73_early,strategic,0.16,1.4072,0.1263,24.0,73.0,,,,
curve_N73_early,strategic,0.165,1.4342,0.1255,24.0,73.0,,,,
curve_N73_early,strategic,0.17,1.4564,0.1437,24.0,73.0,,,,
curve_N73_early,strategic,0.175,1.4794,0.1304,24.0,73.0,,,,
curve_N73_early,strategic,0.18,1.496,0.1218,24.0,73.0,,,,
